,City,Suburb,Sales Q3 2015,Median Q3 2015,Sales Q4 2015,Median Q4 2015,Sales Q1 2016,Median Q1 2016,Sales Q2 2016,Median Q2 2016,y15_16_price
1,ADELAIDE,NORTH ADELAIDE,6.0,1370000.0,4.0,1300000.0,10.0,900500.0,14.0,892500.0,1115750.0
2,ADELAIDE HILLS,ALDGATE,6.0,802500.0,7.0,668750.0,13.0,715000.0,16.0,750000.0,734062.5
5,ADELAIDE HILLS,BELAIR,23.0,540000.0,16.0,550000.0,13.0,577500.0,15.0,561000.0,557125.0
7,ADELAIDE HILLS,BRIDGEWATER,16.0,465000.0,12.0,477000.0,16.0,475000.0,18.0,432000.0,462250.0
12,ADELAIDE HILLS,CRAFERS,7.0,617500.0,3.0,678250.0,8.0,640500.0,3.0,537000.0,618312.5
13,ADELAIDE HILLS,CRAFERS WEST,5.0,508650.0,6.0,537500.0,3.0,470150.0,6.0,642500.0,539700.0
15,ADELAIDE HILLS,GREENHILL,1.0,496000.0,2.0,572500.0,1.0,590000.0,3.0,490000.0,537125.0
16,ADELAIDE HILLS,HEATHFIELD,3.0,593000.0,3.0,942500.0,4.0,470000.0,4.0,605000.0,652625.0
28,ADELAIDE HILLS,ROSTREVOR,27.0,532500.0,23.0,615000.0,16.0,557500.0,33.0,605000.0,577500.0
30,ADELAIDE HILLS,STIRLING,13.0,606000.0,8.0,700000.0,16.0,727500.0,7.0,755000.0,697125.0
31,ADELAIDE HILLS,STONYFELL,1.0,835000.0,4.0,950000.0,3.0,880000.0,5.0,652500.0,829375.0
34,ADELAIDE HILLS,UPPER STURT,2.0,382500.0,2.0,520000.0,2.0,472000.0,3.0,555000.0,482375.0
37,ADELAIDE HILLS,WOODFORDE,2.0,1145000.0,2.0,788500.0,2.0,955000.0,2.0,569000.0,864375.0
38,BURNSIDE,AULDANA,1.0,1000000.0,1.0,828888.0,3.0,825000.0,5.0,850000.0,875972.0
39,BURNSIDE,BEAUMONT,4.0,792500.0,12.0,870000.0,6.0,1300000.0,17.0,821220.0,945930.0
40,BURNSIDE,BEULAH PARK,6.0,673000.0,5.0,736000.0,6.0,610000.0,9.0,688000.0,676750.0
41,BURNSIDE,BURNSIDE,14.0,746000.0,10.0,800000.0,10.0,875000.0,5.0,805000.0,806500.0
42,BURNSIDE,DULWICH,7.0,1060000.0,5.0,1390000.0,3.0,897500.0,5.0,1210000.0,1139375.0
44,BURNSIDE,ERINDALE,2.0,1150000.0,3.0,941000.0,3.0,1037000.0,5.0,1130000.0,1064500.0
46,BURNSIDE,GLEN OSMOND,9.0,750000.0,8.0,994000.0,3.0,1250000.0,5.0,926500.0,980125.0
47,BURNSIDE,GLENSIDE,4.0,690000.0,2.0,750000.0,1.0,1120000.0,5.0,856000.0,854000.0
49,BURNSIDE,HAZELWOOD PARK,2.0,802500.0,4.0,971500.0,5.0,958000.0,10.0,1127500.0,964875.0
51,BURNSIDE,KENSINGTON GARDENS,4.0,967000.0,4.0,601000.0,3.0,1200000.0,10.0,825500.0,898375.0
52,BURNSIDE,KENSINGTON PARK,7.0,891000.0,2.0,850000.0,5.0,685000.0,12.0,780000.0,801500.0
55,BURNSIDE,LINDEN PARK,7.0,920000.0,7.0,1000000.0,6.0,670000.0,6.0,850000.0,860000.0
56,BURNSIDE,MAGILL,30.0,555000.0,22.0,580000.0,18.0,605000.0,31.0,598000.0,584500.0
57,BURNSIDE,MOUNT OSMOND,4.0,750000.0,2.0,878500.0,1.0,940000.0,2.0,860000.0,857125.0
58,BURNSIDE,ROSE PARK,2.0,1755000.0,3.0,900000.0,1.0,1320000.0,2.0,1668500.0,1410875.0
59,BURNSIDE,ROSSLYN PARK,4.0,1012000.0,4.0,892500.0,2.0,830000.0,8.0,815000.0,887375.0
61,BURNSIDE,ST GEORGES,4.0,1087500.0,2.0,1092500.0,8.0,891500.0,10.0,960000.0,1007875.0
62,BURNSIDE,STONYFELL,1.0,835000.0,4.0,950000.0,3.0,880000.0,5.0,652500.0,829375.0
63,BURNSIDE,TOORAK GARDENS,5.0,1515000.0,2.0,1021050.0,8.0,1312500.0,9.0,1252500.0,1275262.5
64,BURNSIDE,TUSMORE,6.0,930000.0,2.0,1023250.0,3.0,1300001.0,3.0,1765000.0,1254562.75
66,BURNSIDE,WATTLE PARK,10.0,725000.0,7.0,895000.0,5.0,925000.0,3.0,832000.0,844250.0
67,CAMPBELLTOWN,ATHELSTONE,20.0,493000.0,16.0,475000.0,23.0,575000.0,28.0,495000.0,509500.0
68,CAMPBELLTOWN,CAMPBELLTOWN,36.0,495000.0,28.0,500000.0,18.0,552500.0,33.0,530000.0,519375.0
69,CAMPBELLTOWN,HECTORVILLE,12.0,525000.0,18.0,487500.0,5.0,605000.0,12.0,517000.0,533625.0
70,CAMPBELLTOWN,MAGILL,30.0,555000.0,22.0,580000.0,18.0,605000.0,31.0,598000.0,584500.0
71,CAMPBELLTOWN,NEWTON,13.0,487500.0,12.0,552500.0,8.0,550000.0,21.0,500500.0,522625.0
72,CAMPBELLTOWN,PARADISE,16.0,480000.0,15.0,490000.0,18.0,503500.0,18.0,517500.0,497750.0
73,CAMPBELLTOWN,ROSTREVOR,27.0,532500.0,23.0,615000.0,16.0,557500.0,33.0,605000.0,577500.0
74,CAMPBELLTOWN,TRANMERE,8.0,625000.0,9.0,705000.0,8.0,662500.0,11.0,685500.0,669500.0
76,CHARLES STURT,ALLENBY GARDENS,3.0,450000.0,3.0,490250.0,6.0,580000.0,5.0,581800.0,525512.5
77,CHARLES STURT,ATHOL PARK,8.0,376000.0,3.0,483750.0,2.0,404500.0,7.0,367000.0,407812.5
78,CHARLES STURT,BEVERLEY,5.0,430000.0,8.0,489000.0,3.0,473000.0,10.0,476750.0,467187.5
80,CHARLES STURT,BROMPTON,12.0,545000.0,5.0,525000.0,8.0,469000.0,15.0,491000.0,507500.0
81,CHARLES STURT,CHELTENHAM,6.0,440000.0,3.0,430000.0,7.0,428000.0,3.0,400000.0,424500.0
82,CHARLES STURT,CROYDON,2.0,445000.0,3.0,470000.0,1.0,558000.0,5.0,500000.0,493250.0
84,CHARLES STURT,FINDON,21.0,487000.0,11.0,496500.0,14.0,470500.0,13.0,480000.0,483500.0
85,CHARLES STURT,FLINDERS PARK,12.0,509250.0,12.0,545000.0,18.0,511000.0,19.0,560000.0,531312.5
86,CHARLES STURT,FULHAM GARDENS,15.0,646000.0,17.0,565000.0,10.0,630000.0,18.0,570000.0,602750.0
87,CHARLES STURT,GRANGE,6.0,638000.0,9.0,657500.0,16.0,666750.0,21.0,675000.0,659312.5
88,CHARLES STURT,HENDON,3.0,371000.0,4.0,377500.0,7.0,393000.0,5.0,420000.0,390375.0
89,CHARLES STURT,HENLEY BEACH,9.0,737000.0,14.0,672000.0,12.0,842500.0,16.0,799000.0,762625.0
90,CHARLES STURT,HENLEY BEACH SOUTH,7.0,942500.0,4.0,797500.0,12.0,810000.0,9.0,715000.0,816250.0
92,CHARLES STURT,KIDMAN PARK,12.0,575000.0,4.0,581000.0,11.0,635000.0,6.0,610000.0,600250.0
93,CHARLES STURT,KILKENNY,5.0,411000.0,1.0,450000.0,2.0,390000.0,4.0,515000.0,441500.0
95,CHARLES STURT,PENNINGTON,10.0,396000.0,5.0,376000.0,7.0,366500.0,5.0,384500.0,380750.0
96,CHARLES STURT,RENOWN PARK,4.0,500000.0,6.0,476750.0,5.0,450000.0,3.0,532500.0,489812.5
97,CHARLES STURT,RIDLEYTON,1.0,427500.0,7.0,465750.0,4.0,542500.0,1.0,560000.0,498937.5
98,CHARLES STURT,ROSEWATER,8.0,340000.0,6.0,365000.0,11.0,325000.0,20.0,325000.0,338750.0
99,CHARLES STURT,ROYAL PARK,8.0,300500.0,8.0,382500.0,4.0,330000.0,11.0,425000.0,359500.0
100,CHARLES STURT,SEATON,25.0,460000.0,18.0,480000.0,22.0,468000.0,31.0,483000.0,472750.0
101,CHARLES STURT,SEMAPHORE PARK,1.0,490000.0,9.0,508000.0,14.0,484500.0,12.0,505000.0,496875.0
102,CHARLES STURT,ST CLAIR,5.0,690000.0,1.0,621500.0,3.0,583500.0,6.0,481000.0,594000.0
103,CHARLES STURT,TENNYSON,3.0,475000.0,2.0,1027000.0,1.0,2100000.0,3.0,900000.0,1125500.0
105,CHARLES STURT,WEST BEACH,8.0,728000.0,8.0,633500.0,7.0,825000.0,7.0,706000.0,723125.0
106,CHARLES STURT,WEST CROYDON,9.0,522500.0,10.0,483500.0,12.0,551500.0,8.0,560500.0,529500.0
108,CHARLES STURT,WEST LAKES,17.0,708000.0,6.0,649000.0,13.0,730000.0,14.0,715500.0,700625.0
109,CHARLES STURT,WEST LAKES SHORE,8.0,529000.0,6.0,522500.0,6.0,600000.0,14.0,571500.0,555750.0
110,CHARLES STURT,WOODVILLE,3.0,505000.0,1.0,517500.0,3.0,652000.0,8.0,580000.0,563625.0
111,CHARLES STURT,WOODVILLE NORTH,8.0,380000.0,4.0,360000.0,8.0,375000.0,9.0,500000.0,403750.0
112,CHARLES STURT,WOODVILLE PARK,4.0,656000.0,5.0,580000.0,3.0,705000.0,4.0,517500.0,614625.0
113,CHARLES STURT,WOODVILLE SOUTH,10.0,470000.0,11.0,555000.0,9.0,481500.0,15.0,450000.0,489125.0
114,CHARLES STURT,WOODVILLE WEST,7.0,451000.0,6.0,491250.0,7.0,445000.0,9.0,489000.0,469062.5
116,GAWLER,EVANSTON,8.0,260000.0,6.0,337500.0,6.0,270975.0,16.0,322500.0,297743.75
117,GAWLER,EVANSTON GARDENS,11.0,317450.0,2.0,248000.0,7.0,300650.0,5.0,300000.0,291525.0
118,GAWLER,EVANSTON PARK,18.0,377500.0,20.0,375000.0,20.0,363000.0,15.0,357500.0,368250.0
121,GAWLER,GAWLER EAST,25.0,343500.0,12.0,315000.0,20.0,368750.0,14.0,321500.0,337187.5
122,GAWLER,GAWLER SOUTH,6.0,280000.0,11.0,305975.0,8.0,362475.0,13.0,319250.0,316925.0
123,GAWLER,GAWLER WEST,2.0,302500.0,1.0,155000.0,3.0,269500.0,5.0,247000.0,243500.0
128,GAWLER,WILLASTON,13.0,309500.0,10.0,342500.0,14.0,282500.0,19.0,303000.0,309375.0
129,HOLDFAST BAY,BRIGHTON,11.0,647000.0,15.0,677500.0,9.0,749000.0,16.0,780000.0,713375.0
131,HOLDFAST BAY,GLENELG EAST,7.0,775000.0,7.0,686250.0,4.0,841000.0,5.0,725000.0,756812.5
132,HOLDFAST BAY,GLENELG NORTH,19.0,622500.0,11.0,570000.0,15.0,557500.0,12.0,685000.0,608750.0
134,HOLDFAST BAY,HOVE,12.0,662550.0,11.0,632000.0,8.0,635000.0,4.0,645000.0,643637.5
136,HOLDFAST BAY,NORTH BRIGHTON,7.0,590000.0,5.0,760000.0,4.0,782500.0,6.0,605000.0,684375.0
137,HOLDFAST BAY,SEACLIFF,4.0,673500.0,3.0,497500.0,5.0,725000.0,1.0,936000.0,708000.0
138,HOLDFAST BAY,SEACLIFF PARK,4.0,462500.0,9.0,475000.0,5.0,590000.0,10.0,517000.0,511125.0
139,HOLDFAST BAY,SOMERTON PARK,16.0,590500.0,13.0,975000.0,15.0,640000.0,19.0,660000.0,716375.0
140,HOLDFAST BAY,SOUTH BRIGHTON,4.0,589000.0,6.0,567000.0,3.0,445000.0,8.0,590000.0,547750.0
141,MARION,ASCOT PARK,9.0,412000.0,4.0,523000.0,6.0,440270.0,7.0,424000.0,449817.5
143,MARION,CLOVELLY PARK,12.0,442250.0,9.0,462500.0,11.0,425000.0,16.0,468400.0,449537.5
145,MARION,DOVER GARDENS,10.0,485500.0,18.0,455000.0,11.0,477550.0,11.0,495000.0,478262.5
146,MARION,EDWARDSTOWN,9.0,465000.0,8.0,445000.0,10.0,460000.0,15.0,470000.0,460000.0
147,MARION,GLANDORE,7.0,489000.0,8.0,615000.0,4.0,645000.0,8.0,550000.0,574750.0
148,MARION,GLENGOWRIE,14.0,565000.0,13.0,615000.0,7.0,650000.0,20.0,620000.0,612500.0
149,MARION,HALLETT COVE,38.0,465000.0,29.0,440500.0,25.0,471000.0,50.0,408500.0,446250.0
151,MARION,MARINO,8.0,685000.0,9.0,522500.0,3.0,753500.0,7.0,576000.0,634250.0
152,MARION,MARION,10.0,460000.0,13.0,480000.0,12.0,467500.0,12.0,489500.0,474250.0
153,MARION,MITCHELL PARK,8.0,455000.0,11.0,435000.0,8.0,396500.0,13.0,435000.0,430375.0
154,MARION,MORPHETTVILLE,6.0,457500.0,9.0,486125.0,11.0,485000.0,10.0,501000.0,482406.25
155,MARION,OAKLANDS PARK,9.0,490000.0,6.0,447500.0,5.0,450000.0,12.0,504000.0,472875.0
156,MARION,O'HALLORAN HILL,8.0,388500.0,9.0,342000.0,9.0,353000.0,10.0,380000.0,365875.0
157,MARION,PARK HOLME,7.0,460000.0,7.0,462750.0,3.0,430000.0,7.0,435000.0,446937.5
158,MARION,PLYMPTON PARK,16.0,536000.0,8.0,537500.0,8.0,499750.0,18.0,490250.0,515875.0
