,City,Suburb,Sales Q3 2017,"Median
3Q 2017",Sales Q4 2017,Median Q4 2017,Sales Q1 2018,Median Q1 2018,Sales Q2 2018,Median Q2 2018,y17_18_price,sales_17_18
0,ADELAIDE,ADELAIDE,4.0,695000.0,6.0,780500.0,5.0,861000.0,5.0,696000.0,758125.0,20.0
1,ADELAIDE,NORTH ADELAIDE,9.0,1375000.0,5.0,1095000.0,2.0,2195500.0,6.0,1510000.0,1543875.0,22.0
2,ADELAIDE HILLS,ALDGATE,12.0,735000.0,10.0,675000.0,17.0,696000.0,15.0,820000.0,731500.0,54.0
5,ADELAIDE HILLS,BELAIR,21.0,613000.0,14.0,570000.0,14.0,585000.0,14.0,577500.0,586375.0,63.0
7,ADELAIDE HILLS,BRIDGEWATER,24.0,465000.0,18.0,448000.0,18.0,490000.0,19.0,535000.0,484500.0,79.0
12,ADELAIDE HILLS,CRAFERS,8.0,720000.0,5.0,820000.0,11.0,835250.0,8.0,752500.0,781937.5,32.0
13,ADELAIDE HILLS,CRAFERS WEST,4.0,636000.0,6.0,742500.0,5.0,555000.0,8.0,616250.0,637437.5,23.0
16,ADELAIDE HILLS,HEATHFIELD,3.0,565000.0,3.0,710000.0,3.0,700000.0,3.0,658000.0,658250.0,12.0
27,ADELAIDE HILLS,ROSTREVOR,39.0,612500.0,36.0,639000.0,32.0,612500.0,38.0,652500.0,629125.0,145.0
29,ADELAIDE HILLS,STIRLING,11.0,704000.0,9.0,710000.0,7.0,690000.0,18.0,780000.0,721000.0,45.0
30,ADELAIDE HILLS,STONYFELL,2.0,825000.0,5.0,1075000.0,4.0,1102500.0,3.0,755000.0,939375.0,14.0
31,ADELAIDE HILLS,SUMMERTOWN,1.0,550000.0,3.0,513000.0,4.0,550000.0,1.0,790000.0,600750.0,9.0
32,ADELAIDE HILLS,TERINGIE,5.0,900000.0,1.0,810000.0,1.0,639000.0,2.0,795000.0,786000.0,9.0
33,ADELAIDE HILLS,UPPER STURT,3.0,630000.0,3.0,473500.0,1.0,477500.0,5.0,555000.0,534000.0,12.0
34,ADELAIDE HILLS,URAIDLA,1.0,630000.0,4.0,450000.0,1.0,680000.0,2.0,465000.0,556250.0,8.0
35,ADELAIDE HILLS,WATERFALL GULLY,1.0,782000.0,1.0,1065000.0,2.0,688500.0,1.0,400000.0,733875.0,5.0
37,BURNSIDE,AULDANA,2.0,1795500.0,2.0,1157500.0,5.0,1200000.0,3.0,895000.0,1262000.0,12.0
38,BURNSIDE,BEAUMONT,10.0,957000.0,11.0,1012250.0,12.0,963000.0,9.0,861500.0,948437.5,42.0
39,BURNSIDE,BEULAH PARK,3.0,730750.0,7.0,685000.0,5.0,757000.0,7.0,850000.0,755687.5,22.0
40,BURNSIDE,BURNSIDE,10.0,1008000.0,3.0,825000.0,10.0,769000.0,12.0,800000.0,850500.0,35.0
41,BURNSIDE,DULWICH,5.0,1395000.0,4.0,1443000.0,5.0,1288000.0,5.0,1438000.0,1391000.0,19.0
42,BURNSIDE,EASTWOOD,1.0,630000.0,2.0,746000.0,1.0,527000.0,2.0,882000.0,696250.0,6.0
43,BURNSIDE,ERINDALE,5.0,878000.0,7.0,1410000.0,4.0,1405000.0,2.0,1245000.0,1234500.0,18.0
45,BURNSIDE,GLEN OSMOND,8.0,915500.0,9.0,1020000.0,3.0,1105000.0,8.0,1135000.0,1043875.0,28.0
46,BURNSIDE,GLENSIDE,3.0,1250000.0,3.0,1040000.0,3.0,885000.0,5.0,900000.0,1018750.0,14.0
47,BURNSIDE,GLENUNGA,9.0,880000.0,8.0,1210000.0,8.0,1275000.0,7.0,1115000.0,1120000.0,32.0
48,BURNSIDE,HAZELWOOD PARK,2.0,852500.0,5.0,1221000.0,5.0,1169000.0,8.0,909000.0,1037875.0,20.0
50,BURNSIDE,KENSINGTON GARDENS,4.0,1070000.0,8.0,975000.0,4.0,1208500.0,5.0,1015000.0,1067125.0,21.0
51,BURNSIDE,KENSINGTON PARK,6.0,1058250.0,11.0,981500.0,8.0,1235000.0,4.0,1170000.0,1111187.5,29.0
52,BURNSIDE,LEABROOK,4.0,1030000.0,1.0,1900000.0,2.0,920050.0,1.0,815100.0,1166287.5,8.0
54,BURNSIDE,LINDEN PARK,10.0,897500.0,5.0,989444.0,7.0,890000.0,8.0,809000.0,896486.0,30.0
55,BURNSIDE,MAGILL,38.0,704000.0,42.0,643500.0,36.0,673750.0,26.0,659000.0,670062.5,142.0
57,BURNSIDE,ROSE PARK,1.0,1350000.0,1.0,1146000.0,1.0,1684000.0,4.0,1645500.0,1456375.0,7.0
58,BURNSIDE,ROSSLYN PARK,6.0,1055000.0,2.0,1125000.0,5.0,766100.0,5.0,842500.0,947150.0,18.0
60,BURNSIDE,ST GEORGES,5.0,888888.0,3.0,1930000.0,4.0,1300000.0,11.0,1175000.0,1323472.0,23.0
61,BURNSIDE,STONYFELL,2.0,825000.0,5.0,1075000.0,4.0,1102500.0,3.0,755000.0,939375.0,14.0
62,BURNSIDE,TOORAK GARDENS,10.0,1421000.0,6.0,1507750.0,6.0,1375000.0,9.0,1533500.0,1459312.5,31.0
63,BURNSIDE,TUSMORE,2.0,1282500.0,5.0,1325000.0,7.0,1250000.0,3.0,1910410.0,1441977.5,17.0
64,BURNSIDE,WATERFALL GULLY,1.0,782000.0,1.0,1065000.0,2.0,688500.0,1.0,400000.0,733875.0,5.0
65,BURNSIDE,WATTLE PARK,5.0,905000.0,2.0,879750.0,3.0,940000.0,3.0,752500.0,869312.5,13.0
66,CAMPBELLTOWN,ATHELSTONE,35.0,482000.0,38.0,528500.0,30.0,556100.0,43.0,567000.0,533400.0,146.0
67,CAMPBELLTOWN,CAMPBELLTOWN,37.0,572495.0,37.0,574250.0,21.0,572000.0,35.0,590000.0,577186.25,130.0
68,CAMPBELLTOWN,HECTORVILLE,9.0,585000.0,16.0,567500.0,13.0,565000.0,22.0,612500.0,582500.0,60.0
69,CAMPBELLTOWN,MAGILL,38.0,704000.0,42.0,643500.0,36.0,673750.0,26.0,659000.0,670062.5,142.0
70,CAMPBELLTOWN,NEWTON,14.0,533000.0,17.0,540000.0,17.0,502000.0,19.0,531500.0,526625.0,67.0
71,CAMPBELLTOWN,PARADISE,16.0,560000.0,28.0,557500.0,18.0,539000.0,23.0,510250.0,541687.5,85.0
72,CAMPBELLTOWN,ROSTREVOR,39.0,612500.0,36.0,639000.0,32.0,612500.0,38.0,652500.0,629125.0,145.0
73,CAMPBELLTOWN,TRANMERE,16.0,700000.0,13.0,670000.0,19.0,817400.0,15.0,735000.0,730600.0,63.0
74,CHARLES STURT,ALBERT PARK,5.0,425000.0,8.0,440000.0,7.0,429000.0,6.0,420000.0,428500.0,26.0
75,CHARLES STURT,ALLENBY GARDENS,7.0,590000.0,5.0,547500.0,9.0,516000.0,6.0,612500.0,566500.0,27.0
76,CHARLES STURT,ATHOL PARK,9.0,405000.0,5.0,450000.0,6.0,385000.0,2.0,412500.0,413125.0,22.0
77,CHARLES STURT,BEVERLEY,6.0,494650.0,7.0,471000.0,3.0,475000.0,9.0,489000.0,482412.5,25.0
78,CHARLES STURT,BOWDEN,2.0,491000.0,1.0,487400.0,1.0,648000.0,3.0,457500.0,520975.0,7.0
79,CHARLES STURT,BROMPTON,6.0,546000.0,13.0,600000.0,10.0,575000.0,5.0,537500.0,564625.0,34.0
80,CHARLES STURT,CHELTENHAM,7.0,537500.0,11.0,465000.0,9.0,440000.0,2.0,453000.0,473875.0,29.0
81,CHARLES STURT,CROYDON,2.0,568000.0,1.0,600000.0,3.0,525000.0,4.0,802500.0,623875.0,10.0
83,CHARLES STURT,FINDON,9.0,500000.0,20.0,511000.0,23.0,512000.0,25.0,519000.0,510500.0,77.0
84,CHARLES STURT,FLINDERS PARK,21.0,601000.0,22.0,620000.0,21.0,565000.0,25.0,580000.0,591500.0,89.0
85,CHARLES STURT,FULHAM GARDENS,21.0,667500.0,12.0,731000.0,15.0,696000.0,19.0,631000.0,681375.0,67.0
86,CHARLES STURT,GRANGE,6.0,700000.0,13.0,697750.0,15.0,666000.0,20.0,692500.0,689062.5,54.0
87,CHARLES STURT,HENDON,5.0,392250.0,4.0,337500.0,7.0,440000.0,1.0,430000.0,399937.5,17.0
88,CHARLES STURT,HENLEY BEACH,14.0,895000.0,18.0,828000.0,14.0,843000.0,18.0,963000.0,882250.0,64.0
89,CHARLES STURT,HENLEY BEACH SOUTH,4.0,950000.0,12.0,842500.0,7.0,940500.0,15.0,1065000.0,949500.0,38.0
91,CHARLES STURT,KIDMAN PARK,9.0,625000.0,8.0,577000.0,11.0,625000.0,8.0,530000.0,589250.0,36.0
93,CHARLES STURT,OVINGHAM,1.0,601000.0,3.0,611500.0,3.0,840000.0,1.0,745000.0,699375.0,8.0
94,CHARLES STURT,PENNINGTON,4.0,412000.0,8.0,395000.0,10.0,426000.0,10.0,385000.0,404500.0,32.0
95,CHARLES STURT,RENOWN PARK,6.0,465000.0,6.0,476250.0,4.0,428500.0,4.0,530000.0,474937.5,20.0
96,CHARLES STURT,RIDLEYTON,4.0,512000.0,1.0,525000.0,4.0,530000.0,2.0,917500.0,621125.0,11.0
97,CHARLES STURT,ROSEWATER,20.0,377000.0,13.0,386250.0,11.0,414000.0,10.0,352500.0,382437.5,54.0
98,CHARLES STURT,ROYAL PARK,10.0,445000.0,10.0,408500.0,12.0,442500.0,13.0,420000.0,429000.0,45.0
99,CHARLES STURT,SEATON,31.0,495000.0,32.0,505000.0,26.0,517500.0,28.0,510000.0,506875.0,117.0
100,CHARLES STURT,SEMAPHORE PARK,8.0,545000.0,14.0,500000.0,11.0,515000.0,11.0,583000.0,535750.0,44.0
101,CHARLES STURT,ST CLAIR,2.0,727000.0,8.0,670000.0,2.0,672500.0,3.0,435000.0,626125.0,15.0
102,CHARLES STURT,TENNYSON,4.0,855000.0,1.0,1182000.0,2.0,2740000.0,3.0,785000.0,1390500.0,10.0
104,CHARLES STURT,WEST BEACH,14.0,770000.0,8.0,712500.0,13.0,691250.0,12.0,706250.0,720000.0,47.0
105,CHARLES STURT,WEST CROYDON,6.0,525000.0,18.0,555000.0,11.0,563750.0,12.0,592600.0,559087.5,47.0
106,CHARLES STURT,WEST HINDMARSH,4.0,624000.0,5.0,591500.0,3.0,630000.0,5.0,620000.0,616375.0,17.0
107,CHARLES STURT,WEST LAKES,18.0,752500.0,11.0,820000.0,16.0,712500.0,21.0,756000.0,760250.0,66.0
108,CHARLES STURT,WEST LAKES SHORE,12.0,597500.0,14.0,650500.0,11.0,628500.0,11.0,580000.0,614125.0,48.0
109,CHARLES STURT,WOODVILLE,3.0,895000.0,5.0,705000.0,6.0,633000.0,7.0,750000.0,745750.0,21.0
110,CHARLES STURT,WOODVILLE NORTH,8.0,460000.0,4.0,382500.0,5.0,387000.0,4.0,501500.0,432750.0,21.0
111,CHARLES STURT,WOODVILLE PARK,7.0,565000.0,7.0,590000.0,5.0,620000.0,4.0,575000.0,587500.0,23.0
112,CHARLES STURT,WOODVILLE SOUTH,16.0,541000.0,15.0,537500.0,10.0,550000.0,9.0,530000.0,539625.0,50.0
113,CHARLES STURT,WOODVILLE WEST,23.0,482330.0,10.0,486750.0,6.0,457500.0,14.0,499750.0,481582.5,53.0
115,GAWLER,EVANSTON,7.0,369950.0,19.0,345000.0,7.0,259500.0,10.0,302000.0,319112.5,43.0
116,GAWLER,EVANSTON GARDENS,6.0,328000.0,3.0,247000.0,4.0,360000.0,6.0,295000.0,307500.0,19.0
117,GAWLER,EVANSTON PARK,18.0,390000.0,15.0,311000.0,25.0,358000.0,17.0,331000.0,347500.0,75.0
118,GAWLER,EVANSTON SOUTH,1.0,343000.0,3.0,410000.0,3.0,440860.0,5.0,423530.0,404347.5,12.0
119,GAWLER,GAWLER,3.0,408500.0,3.0,277500.0,3.0,373750.0,2.0,295000.0,338687.5,11.0
120,GAWLER,GAWLER EAST,26.0,352000.0,27.0,355475.0,15.0,365000.0,21.0,382500.0,363743.75,89.0
121,GAWLER,GAWLER SOUTH,11.0,299000.0,10.0,306500.0,4.0,457500.0,15.0,319500.0,345625.0,40.0
122,GAWLER,GAWLER WEST,5.0,263750.0,4.0,272000.0,1.0,375000.0,3.0,316250.0,306750.0,13.0
125,GAWLER,REID,1.0,552500.0,2.0,335000.0,1.0,350000.0,3.0,336000.0,393375.0,7.0
127,GAWLER,WILLASTON,12.0,287500.0,16.0,307500.0,15.0,307750.0,17.0,285000.0,296937.5,60.0
128,HOLDFAST BAY,BRIGHTON,6.0,686000.0,6.0,714000.0,10.0,684000.0,10.0,768000.0,713000.0,32.0
130,HOLDFAST BAY,GLENELG EAST,5.0,893750.0,7.0,784625.0,7.0,875000.0,9.0,955000.0,877093.75,28.0
131,HOLDFAST BAY,GLENELG NORTH,13.0,703750.0,19.0,705000.0,15.0,775000.0,15.0,790500.0,743562.5,62.0
132,HOLDFAST BAY,GLENELG SOUTH,3.0,773750.0,5.0,1082000.0,6.0,1430000.0,3.0,1435000.0,1180187.5,17.0
133,HOLDFAST BAY,HOVE,11.0,608000.0,12.0,655000.0,12.0,682500.0,16.0,661000.0,651625.0,51.0
134,HOLDFAST BAY,KINGSTON PARK,2.0,705500.0,1.0,1240000.0,4.0,675000.0,2.0,901500.0,880500.0,9.0
135,HOLDFAST BAY,NORTH BRIGHTON,7.0,1040000.0,9.0,790000.0,8.0,715000.0,6.0,782500.0,831875.0,30.0
136,HOLDFAST BAY,SEACLIFF,9.0,711090.0,12.0,810000.0,8.0,763000.0,7.0,895000.0,794772.5,36.0
137,HOLDFAST BAY,SEACLIFF PARK,11.0,480000.0,16.0,630000.0,8.0,552500.0,6.0,510000.0,543125.0,41.0
138,HOLDFAST BAY,SOMERTON PARK,15.0,660000.0,18.0,805000.0,10.0,835000.0,22.0,918500.0,804625.0,65.0
139,HOLDFAST BAY,SOUTH BRIGHTON,10.0,561000.0,13.0,650000.0,9.0,656250.0,8.0,590000.0,614312.5,40.0
140,MARION,ASCOT PARK,9.0,530000.0,10.0,467500.0,7.0,491000.0,8.0,430000.0,479625.0,34.0
141,MARION,BEDFORD PARK,2.0,461250.0,1.0,420000.0,1.0,495000.0,4.0,474500.0,462687.5,8.0
142,MARION,CLOVELLY PARK,12.0,485300.0,8.0,432000.0,7.0,566000.0,12.0,450000.0,483325.0,39.0
